"","x"
"202",8
"203",5
"204",5
"205",5
"206",7
"207",4
"208",4
"209",3
"210",4
"211",5
"212",4
"213",4
"214",6
"215",2
"216",6
"217",4
"218",5
"219",6
"220",7
"221",4
"222",8
"223",6
"224",6
"225",2
"226",5
"227",5
"228",5
"229",6
"230",7
"231",5
"232",5
"233",5
"234",3
"235",4
"236",5
"237",4
"238",7
"239",3
"240",6
"241",5
"242",6
"243",3
"244",6
"245",4
"246",6
"247",5
"248",8
"249",8
"250",6
"251",4
"252",4
"253",5
"254",4
"255",5
"256",6
"257",3
"258",5
"259",5
"260",7
"261",7
"262",7
"263",6
"264",8
"265",5
"266",5
"267",4
"268",4
"269",2
"270",5
"271",7
"272",1
"273",3
"274",3
"275",6
"276",6
"277",8
"278",5
"279",3
"280",6
"281",6
"282",3
"283",5
"284",4
"285",3
"286",5
"287",3
"288",4
"289",2
"290",6
"291",4
"292",3
"293",3
"294",7
"295",6
"296",6
"297",8
"298",3
"299",3
"300",6
"301",6
"302",1
"303",6
"304",6
"305",6
"306",5
"307",3
"308",1
"309",5
"310",5
"311",5
"312",5
"313",6
"314",3
"315",4
"316",6
"317",7
"318",4
"319",4
"320",7
"321",7
"322",4
"323",3
"324",6
"325",3
"326",2
"327",10
"328",2
"329",4
"330",7
"331",5
"332",4
"333",6
"334",7
"335",4
"336",5
"337",6
"338",6
"339",6
"340",8
"341",5
"342",3
"343",5
"344",4
"345",5
"346",4
"347",8
"348",5
"349",4
"350",6
"351",3
"352",8
"353",5
"354",3
"355",5
"356",8
"357",6
"358",5
"359",4
"360",7
"361",3
"362",4
"363",7
"364",4
"365",4
"366",6
"367",4
"368",2
"369",5
"370",5
"371",5
"372",4
"373",7
"374",5
"375",5
"376",8
"377",6
"378",4
"379",4
"380",8
"381",5
"382",6
"383",4
"384",6
"385",5
"386",7
"387",4
"388",4
"389",3
"390",4
"391",8
"392",4
"393",6
"394",6
"395",3
"396",4
"397",4
"398",3
"399",3
"400",9
"401",8
"402",3
"403",7
"404",5
"405",5
"406",5
"407",6
"408",3
"409",4
"410",6
"411",4
"412",7
"413",4
"414",5
"415",4
"416",4
"417",8
"418",4
"419",5
"420",2
"421",5
"422",6
"423",5
"424",4
"425",7
"426",6
"427",4
"428",5
"429",3
"430",7
"431",8
"432",5
"433",4
"434",9
"435",4
"436",5
"437",3
"438",5
"439",3
"440",3
"441",4
"442",5
"443",6
"444",3
"445",7
"446",6
"447",6
"448",3
"449",4
"450",6
"451",5
"452",4
"453",4
"454",3
"455",4
"456",7
"457",6
"458",6
"459",3
"460",3
"461",8
"462",5
"463",5
"464",3
"465",5
"466",4
"467",4
"468",6
"469",4
"470",6
"471",3
"472",6
"473",5
"474",6
"475",6
"476",5
"477",6
"478",0
"479",4
"480",6
"481",4
"482",6
"483",4
"484",6
"485",7
"486",3
"487",3
"488",6
"489",5
"490",7
"491",8
"492",3
"493",5
"494",6
"495",3
"496",9
"497",4
"498",2
"499",6
"500",6
"501",4
"502",4
"503",4
"504",3
"505",4
"506",4
"507",5
"508",5
"509",7
"510",4
"511",5
"512",3
"513",7
"514",5
"515",6
"516",3
"517",5
"518",6
"519",3
"520",6
"521",4
"522",4
"523",4
"524",2
"525",5
"526",6
"527",7
"528",2
"529",8
"530",4
"531",7
"532",6
"533",5
"534",6
"535",2
"536",6
"537",4
"538",7
"539",5
"540",4
"541",6
"542",3
"543",7
"544",4
"545",6
"546",8
"547",3
"548",7
"549",6
"550",5
"551",4
"552",4
"553",5
"554",7
"555",5
"556",5
"557",6
"558",5
"559",5
"560",2
"561",2
"562",7
"563",6
"564",4
"565",6
"566",6
"567",5
"568",6
"569",5
"570",7
"571",5
"572",7
"573",5
"574",5
"575",8
"576",6
"577",5
"578",2
"579",5
"580",5
"581",7
"582",6
"583",7
"584",4
"585",7
"586",3
"587",4
"588",6
"589",8
"590",5
"591",5
"592",3
"593",8
"594",3
"595",3
"596",7
"597",5
"598",4
"599",7
"600",2
"601",4
"602",6
"603",4
"604",4
"605",4
"606",6
"607",3
"608",6
"609",4
"610",4
"611",6
"612",3
"613",2
"614",9
"615",5
"616",6
"617",7
"618",6
"619",8
"620",2
"621",7
"622",7
"623",6
"624",4
"625",2
"626",4
"627",4
"628",7
"629",4
"630",4
"631",6
"632",7
"633",5
"634",6
"635",3
"636",4
"637",8
"638",6
"639",6
"640",5
"641",5
"642",6
"643",7
"644",5
"645",3
"646",6
"647",6
"648",3
"649",4
"650",5
"651",6
"652",7
"653",5
"654",5
"655",6
"656",7
"657",7
"658",3
"659",5
"660",4
"661",7
"662",6
"663",3
"664",6
"665",4
"666",3
"667",7
"668",3
"669",6
"670",4
"671",2
"672",5
"673",3
"674",4
"675",5
"676",5
"677",6
"678",4
"679",5
"680",5
"681",6
"682",6
"683",7
"684",7
"685",8
"686",5
"687",5
"688",3
"689",5
"690",4
"691",2
"692",6
"693",5
"694",3
"695",4
"696",5
"697",3
"698",3
"699",5
"700",4
"701",7
"702",4
"703",2
"704",7
"705",4
"706",6
"707",5
"708",4
"709",4
"710",5
"711",6
"712",5
"713",6
"714",6
"715",5
"716",5
"717",1
"718",1
"719",9
"720",3
"721",5
"722",6
"723",6
"724",7
"725",5
"726",6
"727",7
"728",5
"729",6
"730",2
"731",5
"732",7
"733",6
"734",7
"735",4
"736",4
"737",6
"738",8
"739",4
"740",1
"741",9
"742",3
"743",2
"744",5
"745",4
"746",5
"747",6
"748",3
"749",6
"750",8
"751",4
"752",4
"753",3
"754",3
"755",5
"756",5
"757",5
"758",7
"759",2
"760",4
"761",5
"762",4
"763",5
"764",5
"765",5
"766",3
"767",3
"768",5
"769",6
"770",6
"771",7
"772",6
"773",6
"774",6
"775",3
"776",4
"777",4
"778",5
"779",6
"780",6
"781",4
"782",6
"783",2
"784",6
"785",6
"786",5
"787",4
"788",2
"789",4
"790",7
"791",7
"792",5
"793",4
"794",5
"795",6
"796",5
"797",3
"798",4
"799",4
"800",4
"801",5
"802",4
"803",3
"804",2
"805",4
"806",8
"807",5
"808",5
"809",6
"810",6
"811",2
"812",6
"813",4
"814",7
"815",6
"816",3
"817",4
"818",3
"819",5
"820",5
"821",6
"822",4
"823",5
"824",9
"825",6
"826",3
"827",5
"828",2
"829",4
"830",6
"831",1
"832",6
"833",5
"834",6
"835",6
"836",5
"837",6
"838",6
"839",4
"840",3
"841",8
"842",6
"843",5
"844",3
"845",5
"846",4
"847",7
"848",1
"849",4
"850",3
"851",4
"852",6
"853",9
"854",6
"855",5
"856",5
"857",8
"858",3
"859",3
"860",7
"861",5
"862",2
"863",6
"864",5
"865",5
"866",4
"867",3
"868",3
"869",5
"870",5
"871",3
"872",3
"873",6
"874",5
"875",7
"876",6
"877",2
"878",6
"879",7
"880",6
"881",3
"882",7
"883",6
"884",3
"885",6
"886",7
"887",5
"888",4
"889",4
"890",4
"891",5
"892",6
"893",6
"894",5
"895",6
"896",6
"897",2
"898",5
"899",2
"900",6
"901",7
"902",5
"903",7
"904",5
"905",6
"906",5
"907",6
"908",7
"909",6
"910",3
"911",1
"912",2
"913",7
"914",5
"915",4
"916",8
"917",5
"918",5
"919",5
"920",4
"921",6
"922",2
"923",4
"924",7
"925",6
"926",6
"927",4
"928",5
"929",3
"930",6
"931",7
"932",4
"933",6
"934",5
"935",8
"936",3
"937",5
"938",7
"939",7
"940",2
"941",8
"942",5
"943",5
"944",5
"945",3
"946",3
"947",5
"948",4
"949",5
"950",4
"951",5
"952",3
"953",8
"954",2
"955",4
"956",8
"957",6
"958",3
"959",5
"960",5
"961",5
"962",5
"963",6
"964",3
"965",7
"966",5
"967",5
"968",3
"969",6
"970",5
"971",6
"972",2
"973",6
"974",4
"975",4
"976",6
"977",8
"978",1
"979",4
"980",5
"981",5
"982",6
"983",7
"984",6
"985",7
"986",6
"987",3
"988",3
"989",4
"990",5
"991",3
"992",4
"993",5
"994",5
"995",5
"996",7
"997",6
"998",5
"999",6
"1000",3
